epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,778.992,1.42797,1.31182,0.0128,0.79838,0.57093,0.69088,0.44144,1.45524,1.33509,0.01844,0.0068815,0.0068815,0.0068815
128,784.293,1.41336,1.32529,0.01214,0.70501,0.6285,0.69989,0.43186,1.45648,1.39906,0.01816,0.00685675,0.00685675,0.00685675
129,791.7,1.40926,1.30441,0.01213,0.73814,0.6436,0.70158,0.43633,1.45398,1.40679,0.01768,0.006832,0.006832,0.006832
130,797.151,1.39036,1.27634,0.01215,0.70913,0.62427,0.69133,0.43236,1.47914,1.52011,0.01813,0.00680725,0.00680725,0.00680725
131,802.611,1.40769,1.35073,0.01185,0.77339,0.64706,0.73359,0.48336,1.33677,1.24461,0.01614,0.0067825,0.0067825,0.0067825
132,809.444,1.4152,1.33255,0.01252,0.7544,0.55709,0.62661,0.38864,1.51612,1.73866,0.01929,0.00675775,0.00675775,0.00675775
133,814.766,1.37065,1.30055,0.01166,0.74816,0.6436,0.70947,0.45097,1.4433,1.35958,0.01725,0.006733,0.006733,0.006733
134,821.482,1.37115,1.31499,0.01241,0.85748,0.63322,0.74848,0.44718,1.54316,1.23429,0.01855,0.00670825,0.00670825,0.00670825
135,827.473,1.34776,1.27711,0.01165,0.74303,0.61032,0.70934,0.45493,1.4231,1.30627,0.0172,0.0066835,0.0066835,0.0066835
136,833.07,1.39241,1.25132,0.01263,0.7716,0.57093,0.67397,0.43344,1.43637,1.41967,0.01813,0.00665875,0.00665875,0.00665875
137,840.08,1.40149,1.30828,0.01181,0.79805,0.6436,0.73281,0.48457,1.34689,1.24152,0.01628,0.006634,0.006634,0.006634
138,845.468,1.3721,1.26919,0.01208,0.7686,0.609,0.70783,0.44141,1.46669,1.34079,0.01871,0.00660925,0.00660925,0.00660925
139,852.189,1.36062,1.30582,0.0116,0.83711,0.5917,0.72366,0.46385,1.40588,1.23653,0.01682,0.0065845,0.0065845,0.0065845
140,858.008,1.35267,1.26479,0.01157,0.76967,0.59862,0.67318,0.43281,1.40707,1.48982,0.01736,0.00655975,0.00655975,0.00655975
141,863.386,1.3378,1.2635,0.01148,0.80292,0.58824,0.6942,0.45269,1.39513,1.40718,0.01699,0.006535,0.006535,0.006535
142,870.68,1.35464,1.27355,0.01155,0.84191,0.58131,0.71045,0.47099,1.37818,1.31924,0.01682,0.00651025,0.00651025,0.00651025
143,876.033,1.40041,1.29586,0.01171,0.80683,0.58131,0.68422,0.43568,1.47762,1.3915,0.01759,0.0064855,0.0064855,0.0064855
144,883.144,1.38628,1.29906,0.01185,0.78857,0.61592,0.68461,0.43602,1.46509,1.47781,0.01791,0.00646075,0.00646075,0.00646075
145,888.774,1.34482,1.23535,0.01154,0.77361,0.59862,0.66427,0.43913,1.4226,1.53126,0.01739,0.006436,0.006436,0.006436
146,894.166,1.36944,1.27688,0.01144,0.82157,0.60208,0.70234,0.44208,1.46232,1.41473,0.01803,0.00641125,0.00641125,0.00641125
147,901.304,1.3055,1.23084,0.01135,0.86086,0.57439,0.69863,0.43649,1.47074,1.46504,0.01856,0.0063865,0.0063865,0.0063865
148,906.676,1.33636,1.22121,0.01118,0.76963,0.61592,0.72519,0.4715,1.35995,1.29864,0.01617,0.00636175,0.00636175,0.00636175
149,913.425,1.34711,1.25246,0.01148,0.68502,0.64706,0.71418,0.46194,1.38239,1.34117,0.01747,0.006337,0.006337,0.006337
150,919.213,1.31996,1.19538,0.01108,0.83262,0.58522,0.73435,0.47682,1.34683,1.25917,0.01651,0.00631225,0.00631225,0.00631225
151,924.534,1.40107,1.23994,0.01208,0.84477,0.62142,0.74002,0.4805,1.35818,1.21834,0.0165,0.0062875,0.0062875,0.0062875
152,931.966,1.3389,1.22072,0.01129,0.82839,0.609,0.72675,0.47675,1.35557,1.32104,0.01675,0.00626275,0.00626275,0.00626275
153,937.355,1.31538,1.23759,0.01136,0.82428,0.61592,0.72772,0.47397,1.32117,1.29074,0.01593,0.006238,0.006238,0.006238
154,944.34,1.34628,1.25009,0.01181,0.82571,0.59862,0.72852,0.48918,1.32479,1.26905,0.01594,0.00621325,0.00621325,0.00621325
155,949.959,1.31621,1.20285,0.01094,0.81895,0.63322,0.74289,0.48751,1.35334,1.2456,0.01621,0.0061885,0.0061885,0.0061885
156,955.322,1.32078,1.18744,0.01139,0.83946,0.59516,0.73387,0.49786,1.29267,1.22759,0.01587,0.00616375,0.00616375,0.00616375
157,962.535,1.31719,1.22239,0.01152,0.74164,0.65744,0.72996,0.48509,1.28822,1.23709,0.01554,0.006139,0.006139,0.006139
158,967.864,1.36037,1.25291,0.01151,0.7952,0.63145,0.73296,0.48415,1.34457,1.24938,0.01672,0.00611425,0.00611425,0.00611425
159,975.051,1.29866,1.24108,0.01122,0.82121,0.61982,0.72716,0.48043,1.39122,1.3069,0.01716,0.0060895,0.0060895,0.0060895
160,980.666,1.29588,1.21365,0.01085,0.85877,0.56809,0.68115,0.4368,1.45964,1.51284,0.01734,0.00606475,0.00606475,0.00606475
161,986.185,1.33851,1.20504,0.01113,0.80462,0.64124,0.73669,0.49088,1.3445,1.26472,0.01642,0.00604,0.00604,0.00604
162,993.216,1.32148,1.21456,0.01102,0.80571,0.6263,0.73829,0.48267,1.37962,1.23842,0.01668,0.00601525,0.00601525,0.00601525
163,998.71,1.34885,1.22327,0.01137,0.80298,0.57093,0.71136,0.46187,1.42915,1.32244,0.01752,0.0059905,0.0059905,0.0059905
164,1005.85,1.30375,1.16546,0.01132,0.85066,0.61103,0.7414,0.46969,1.38297,1.27491,0.01762,0.00596575,0.00596575,0.00596575
165,1011.39,1.27772,1.20143,0.01102,0.84116,0.60468,0.72221,0.48098,1.32616,1.30004,0.01601,0.005941,0.005941,0.005941
166,1016.74,1.33209,1.20998,0.01109,0.81675,0.61689,0.73821,0.47026,1.38226,1.26493,0.01637,0.00591625,0.00591625,0.00591625
167,1023.98,1.31797,1.15637,0.01101,0.78963,0.6494,0.74951,0.50928,1.28589,1.17858,0.01551,0.0058915,0.0058915,0.0058915
168,1029.52,1.30412,1.20356,0.01094,0.82778,0.59516,0.71272,0.47384,1.35179,1.3636,0.01634,0.00586675,0.00586675,0.00586675
