epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,475.796,1.13464,0.99154,1.53617,0.82732,0.69629,0.7855,0.5282,1.24307,1.11576,1.68113,0.00764875,0.00764875,0.00764875
97,480.263,1.11293,1.00093,1.5237,0.87096,0.70588,0.81483,0.54894,1.23316,1.02756,1.66427,0.007624,0.007624,0.007624
98,486.393,1.13645,1.02024,1.54304,0.85541,0.65506,0.77826,0.5163,1.27652,1.16469,1.69849,0.00759925,0.00759925,0.00759925
99,490.658,1.15865,1.03054,1.54178,0.78216,0.70934,0.77361,0.51666,1.24382,1.09094,1.67506,0.0075745,0.0075745,0.0075745
100,495.054,1.11875,0.96638,1.5276,0.78529,0.62011,0.69031,0.45885,1.35868,1.44908,1.78306,0.00754975,0.00754975,0.00754975
101,501.336,1.11764,0.9687,1.51883,0.80594,0.72318,0.77795,0.50521,1.24896,1.09462,1.70333,0.007525,0.007525,0.007525
102,505.386,1.10322,0.95948,1.52258,0.82711,0.71626,0.80239,0.55755,1.18589,1.03354,1.61864,0.00750025,0.00750025,0.00750025
103,509.797,1.10344,0.94823,1.5104,0.81539,0.68774,0.782,0.53831,1.19824,1.07668,1.62769,0.0074755,0.0074755,0.0074755
104,516.016,1.11593,0.98565,1.50862,0.81397,0.68166,0.77893,0.50591,1.24574,1.15749,1.67699,0.00745075,0.00745075,0.00745075
105,520.191,1.09514,0.92308,1.49365,0.80115,0.69705,0.77486,0.52168,1.26906,1.12093,1.68143,0.007426,0.007426,0.007426
106,524.429,1.11768,0.96604,1.51208,0.85869,0.69896,0.80826,0.55752,1.13058,1.04586,1.60094,0.00740125,0.00740125,0.00740125
107,530.424,1.10088,0.92707,1.50461,0.82188,0.65463,0.73677,0.47677,1.35602,1.12715,1.72465,0.0073765,0.0073765,0.0073765
108,534.78,1.05869,0.92921,1.46694,0.82276,0.6907,0.76473,0.51408,1.23095,1.1384,1.65801,0.00735175,0.00735175,0.00735175
109,539.186,1.0804,0.93723,1.49925,0.80345,0.70723,0.79451,0.53115,1.26446,1.04804,1.65948,0.007327,0.007327,0.007327
110,545.704,1.07634,0.93591,1.49076,0.8296,0.69896,0.7933,0.55262,1.14931,1.03997,1.58978,0.00730225,0.00730225,0.00730225
111,550.004,1.08276,0.93531,1.49016,0.86392,0.65904,0.7839,0.53959,1.20042,1.05186,1.60512,0.0072775,0.0072775,0.0072775
112,554.447,1.08622,0.94082,1.48092,0.84746,0.71131,0.81065,0.57219,1.13684,1.00083,1.59211,0.00725275,0.00725275,0.00725275
113,560.908,1.07611,0.94514,1.48718,0.79747,0.73702,0.81177,0.58149,1.1072,0.9705,1.57012,0.007228,0.007228,0.007228
114,565.63,1.07477,0.95446,1.48246,0.90599,0.66691,0.78342,0.53451,1.21499,1.03459,1.62755,0.00720325,0.00720325,0.00720325
115,569.833,1.04498,0.90124,1.45805,0.88867,0.63528,0.73623,0.48141,1.30706,1.16777,1.71344,0.0071785,0.0071785,0.0071785
116,575.624,1.05997,0.9195,1.47898,0.83593,0.71972,0.80979,0.56917,1.16749,1.03744,1.60649,0.00715375,0.00715375,0.00715375
117,580.52,1.0874,0.94506,1.4842,0.84444,0.68512,0.79738,0.56489,1.11612,1.00736,1.58547,0.007129,0.007129,0.007129
118,585.142,1.0463,0.92743,1.4586,0.83711,0.64017,0.73129,0.49168,1.31354,1.28593,1.71765,0.00710425,0.00710425,0.00710425
119,590.766,1.04355,0.89483,1.44684,0.88277,0.65398,0.75717,0.52686,1.20533,1.15552,1.62482,0.0070795,0.0070795,0.0070795
120,595.685,1.07103,0.89217,1.45375,0.87444,0.65052,0.76654,0.51791,1.21062,1.31542,1.61536,0.00705475,0.00705475,0.00705475
121,600.063,1.04194,0.89219,1.44153,0.86285,0.71626,0.80373,0.54653,1.13373,1.03667,1.56306,0.00703,0.00703,0.00703
122,605.058,1.02969,0.91015,1.44707,0.80937,0.69051,0.77457,0.51991,1.22476,1.17445,1.62372,0.00700525,0.00700525,0.00700525
123,610.566,1.06064,0.91772,1.47632,0.84675,0.72664,0.80973,0.57492,1.11589,0.98402,1.57252,0.0069805,0.0069805,0.0069805
124,614.997,1.02293,0.87101,1.44258,0.87619,0.63666,0.72996,0.48666,1.29363,1.27953,1.70476,0.00695575,0.00695575,0.00695575
125,620.323,1.02568,0.85185,1.43436,0.89137,0.71626,0.82459,0.59017,1.10291,0.93973,1.57055,0.006931,0.006931,0.006931
126,625.383,1.02931,0.88082,1.42993,0.89219,0.7301,0.82074,0.57844,1.11366,0.97131,1.56324,0.00690625,0.00690625,0.00690625
127,629.883,1.01219,0.88423,1.42097,0.84951,0.65052,0.74263,0.50444,1.19392,1.14864,1.63936,0.0068815,0.0068815,0.0068815
128,634.547,1.02471,0.87003,1.43434,0.77101,0.73356,0.79918,0.53011,1.17526,1.12298,1.62171,0.00685675,0.00685675,0.00685675
129,640.025,1.00407,0.86585,1.40388,0.78116,0.74109,0.80363,0.57742,1.1245,0.98222,1.58145,0.006832,0.006832,0.006832
130,644.423,0.98683,0.84051,1.40273,0.81431,0.74352,0.81545,0.58702,1.09431,0.9741,1.56943,0.00680725,0.00680725,0.00680725
131,649.36,1.01948,0.8711,1.43074,0.78959,0.72318,0.80037,0.5592,1.14549,1.03376,1.60551,0.0067825,0.0067825,0.0067825
132,655.168,1.02565,0.88756,1.45189,0.84521,0.68166,0.79673,0.56029,1.13913,1.02871,1.62176,0.00675775,0.00675775,0.00675775
133,659.615,0.98559,0.84637,1.41323,0.82654,0.74195,0.82056,0.57435,1.09665,0.96152,1.58697,0.006733,0.006733,0.006733
134,664.781,1.00054,0.8713,1.42384,0.84936,0.68286,0.78613,0.55042,1.17232,1.03108,1.59917,0.00670825,0.00670825,0.00670825
135,670.186,0.96459,0.83345,1.39641,0.80915,0.71887,0.78361,0.54276,1.21884,1.04893,1.6224,0.0066835,0.0066835,0.0066835
136,674.574,0.99456,0.859,1.41413,0.77845,0.57439,0.66711,0.41854,1.42847,1.31328,1.81076,0.00665875,0.00665875,0.00665875
137,679.107,1.01119,0.85122,1.41418,0.82354,0.70588,0.78913,0.56152,1.15406,1.04157,1.60316,0.006634,0.006634,0.006634
138,685.099,0.99687,0.84657,1.40842,0.84732,0.66436,0.75788,0.528,1.18349,1.08909,1.62868,0.00660925,0.00660925,0.00660925
139,689.553,0.96763,0.83392,1.38665,0.81994,0.67474,0.77012,0.53228,1.15144,1.20494,1.60085,0.0065845,0.0065845,0.0065845
